,cerrado,mata_nebular,mata_riparia,mata_rupicola,mata_seca,mata_semidecidua
Esenbeckia_grandiflora,1,1,1,1,0,1
Esenbeckia_irwiniana,1,0,0,1,0,0
Esenbeckia_pilocarpoides,0,0,0,0,0,1
Eugenia_acutata,0,0,1,1,0,1
Eugenia_adenantha,0,0,0,0,0,1
Eugenia_aurata,1,0,0,0,1,0
Eugenia_beaurepairiana,0,0,0,1,0,1
Eugenia_brasiliensis,0,1,0,1,0,1
Eugenia_candolleana,0,0,0,0,0,1
Eugenia_capparidifolia,1,1,0,1,0,1
Eugenia_cerasiflora,0,1,0,0,0,1
Eugenia_chlorocarpa,1,1,0,0,0,0
Eugenia_complicata,1,0,0,0,0,0
Eugenia_cuprea,0,0,0,0,0,1
Eugenia_dodonaeifolia,0,1,0,1,0,1
Eugenia_dysenterica,1,0,0,0,0,0
Eugenia_egensis,0,0,0,0,0,1
Eugenia_ellipsoidea,0,1,0,1,0,0
Eugenia_espinhacensis,1,1,0,0,0,0
Eugenia_excelsa,0,0,0,1,0,1
Eugenia_flavescens,0,0,0,0,0,1
Eugenia_florida,1,1,1,1,1,1
Eugenia_francavilleana,0,0,1,1,0,1
Eugenia_hiemalis,1,1,1,1,0,1
Eugenia_involucrata,0,1,1,1,0,1
Eugenia_itajurensis,0,0,0,1,0,1
Eugenia_klotzschiana,1,0,0,0,0,0
Eugenia_lagoensis,0,0,0,0,1,0
Eugenia_lambertiana,0,0,0,0,0,1
Eugenia_laruotteana,1,1,0,1,0,1
Eugenia_ligustrina,0,1,0,1,0,1
Eugenia_longipedunculata,0,1,0,1,0,0
Eugenia_luschnathiana,0,0,0,0,0,1
Eugenia_macrosperma,0,0,0,0,0,1
Eugenia_modesta,0,1,1,1,0,1
Eugenia_myrcianthes,0,0,0,1,0,0
Eugenia_neoformosa,0,1,0,0,0,1
Eugenia_nutans,0,1,0,1,0,1
Eugenia_pantagensis,0,0,0,1,0,0
Eugenia_pia,0,0,0,1,0,0
Eugenia_pisiformis,0,1,0,0,0,0
Eugenia_pluriflora,0,0,0,0,0,1
Eugenia_prasina,0,1,1,1,0,1
Eugenia_punicifolia,1,0,1,1,1,1
Eugenia_pyriformis,0,1,0,1,0,1
Eugenia_sonderiana,1,1,1,1,0,1
Eugenia_sphenophylla,0,1,0,0,0,1
Eugenia_sprengelii,0,0,0,1,0,0
Eugenia_stictopetala,1,0,0,0,1,0
Eugenia_strictissima,0,0,0,1,0,0
Eugenia_suberosa,0,0,0,1,0,0
Eugenia_subterminalis,0,1,1,1,1,1
Eugenia_tenuipedunculata,0,0,0,1,0,1
Eugenia_uniflora,0,0,0,0,0,1
Eugenia_vernicosa,0,0,0,0,0,1
Eugenia_vetula,1,0,0,0,0,0
Eugenia_viridiflora,0,0,0,1,0,0
Eugenia_widgrenii,0,0,0,0,0,1
Euplassa_inaequalis,1,0,0,0,0,0
Euplassa_incana,0,0,0,1,0,1
Euplassa_legalis,0,1,1,0,0,1
Euplassa_rufa,0,1,0,0,0,1
Euplassa_semicostata,1,1,0,1,0,0
Euterpe_edulis,0,1,0,1,0,1
Exellodendron_gardneri,1,0,0,0,0,0
Faramea_hyacinthina,0,1,1,1,0,1
Faramea_latifolia,0,0,1,0,0,1
Faramea_martiana,0,0,0,0,0,1
Faramea_montevidensis,0,0,0,0,0,1
Faramea_multiflora,0,0,0,0,0,1
Faramea_nigrescens,0,1,1,1,0,1
Faramea_stipulacea,1,0,0,0,0,0
